LemmaID	singularForm	singularPatter	brokenPluralForm	brokenPluralPattern
n@burod_1@0	burod	fuEol	>aborAd	>afoEAl
n@buroEum_1@0	buroEum	fuEolul	barAEim	faEAlil
n@buroEuwm_1@0	buroEuwm	fuEoluwl	barAEiym	faEAliyl
n@burogiy_1@0	burogiy	fuEoliy	barAgiy	faEAliy
n@buroj_1@1	buroj	fuEol	>aborAj	>afoEAl
n@buroj_1@1	buroj	fuEol	buruwj	fuEuwl
n@burojumap_1@0	burojumap	fuEolulap	barAjim	faEAlil
n@burokAn_1@1	burokAn	fuEolAl	barAkiyn	faEAliyl
n@buromap_1@1	buromap	fuEolap	buram	fuEal
n@buronus_1@1	buronus	fuEolul	barAnis	faEAlil
n@buronus_1@1	buronus	fuEolul	barAniys	faEAliyl
n@buroquE_1@0	buroquE	fuEolul	barAqiE	faEAlil
n@burovun_1@0	burovun	fuEolul	barAvin	faEAlil
n@busotAn_1@0	busotAn	fuEolAl	basAtiyn	faEAliyl
n@buwliysap_1@1	buwliysap	fuwEiylap	bawAlis	fawAEil
n@buwliySap_1@1	buwliySap	fuwEiylap	bawAliS	fawAEil
n@buwz_1@1	buwz	fuwl	>abowAz	>afoEAl
n@buxonuq_1@1	buxonuq	fuEolul	baxAniq	faEAlil
n@buz~_1@1	buz~	fuE~	>abozAz	>afoEAE
n@dA'_1@1	dA'	fAl	>adowA'	>afoEAl
n@dA'_1@1	dA'	fAl	>adowA}	>afoEAl
n@dA'_1@1	dA'	fAl	>adowA&	>afoEAl
n@dAb~ap_1@1	dAb~ap	fAE~ap	dawAb~	fawAE~
n@DAbiT_2@1	DAbiT	fAEil	Dub~AT	fuE~Al
n@daboduwbap_1@1	daboduwbap	faEoluwlap	dabAdiyb	faEAliyl
n@DaboE_1@1	DaboE	faEol	>aDobuE	>afoEul
n@DaboE_1@1	DaboE	faEol	DibAE	fiEAl
n@dab~uwr_1@0	dab~uwr	faE~uwl	dabAbiyr	faEAliyl
n@dab~uws_1@1	dab~uws	faE~uwl	dabAbiys	faEAliyl
